reading_date,contract_id,contract_version,used_kw,reading_status,ingested_at
2023-01-01,101,1,17.65,on_time,2026-01-21 02:36:43.512077
2023-01-02,101,1,15.43,on_time,2026-01-21 02:36:43.512077
2023-01-03,101,1,14.81,on_time,2026-01-21 02:36:43.512077
2023-01-04,101,1,21.94,on_time,2026-01-21 02:36:43.512077
2023-01-05,101,1,26.64,on_time,2026-01-21 02:36:43.512077
2023-01-06,101,1,22.24,on_time,2026-01-21 02:36:43.512077
2023-01-07,101,1,23.11,on_time,2026-01-21 02:36:43.512077
2023-01-08,101,1,26.28,on_time,2026-01-21 02:36:43.512077
2023-01-09,101,1,12.2,on_time,2026-01-21 02:36:43.512077
2023-01-10,101,1,19.76,on_time,2026-01-21 02:36:43.512077
2023-01-11,101,1,14.8,on_time,2026-01-21 02:36:43.512077
2023-01-12,101,1,28.89,on_time,2026-01-21 02:36:43.512077
2023-01-13,101,1,30.76,on_time,2026-01-21 02:36:43.512077
2023-01-14,101,1,13.64,on_time,2026-01-21 02:36:43.512077
2023-01-15,101,1,14.3,on_time,2026-01-21 02:36:43.512077
2023-01-16,101,1,24.17,on_time,2026-01-21 02:36:43.512077
2023-01-17,101,1,24.46,on_time,2026-01-21 02:36:43.512077
2023-01-18,101,2,19.13,late,2026-01-21 02:36:43.512077
2023-01-19,101,1,22.06,late,2026-01-21 02:36:43.512077
2023-01-20,101,1,11.27,late,2026-01-21 02:36:43.512077
2023-01-21,101,1,20.39,on_time,2026-01-21 02:36:43.512077
2023-01-22,101,1,28.15,on_time,2026-01-21 02:36:43.513069
2023-01-23,101,1,13.71,on_time,2026-01-21 02:36:43.513069
2023-01-24,101,1,12.94,on_time,2026-01-21 02:36:43.513069
2023-01-25,101,1,25.22,on_time,2026-01-21 02:36:43.513069
2023-01-26,101,1,14.78,on_time,2026-01-21 02:36:43.513069
2023-01-27,101,2,26.22,on_time,2026-01-21 02:36:43.513069
2023-01-28,101,1,13.97,on_time,2026-01-21 02:36:43.513069
2023-01-29,101,1,28.8,estimated,2026-01-21 02:36:43.513069
2023-01-30,101,1,29.6,on_time,2026-01-21 02:36:43.513069
2023-01-31,101,1,26.56,on_time,2026-01-21 02:36:43.513069
2023-02-01,101,1,13.27,late,2026-01-21 02:36:43.513069
2023-02-02,101,1,12.34,on_time,2026-01-21 02:36:43.513069
2023-02-03,101,1,21.99,late,2026-01-21 02:36:43.513069
2023-02-04,101,1,27.25,on_time,2026-01-21 02:36:43.513069
2023-02-05,101,1,10.96,on_time,2026-01-21 02:36:43.513069
2023-02-06,101,1,16.84,on_time,2026-01-21 02:36:43.513069
2023-02-07,101,2,23.38,on_time,2026-01-21 02:36:43.513069
2023-02-08,101,1,23.24,on_time,2026-01-21 02:36:43.513069
2023-02-09,101,1,13.49,late,2026-01-21 02:36:43.513069
2023-02-10,101,1,16.6,on_time,2026-01-21 02:36:43.513069
2023-02-11,101,1,26.6,on_time,2026-01-21 02:36:43.513069
2023-02-12,101,1,14.54,on_time,2026-01-21 02:36:43.513069
2023-02-13,101,1,13.72,on_time,2026-01-21 02:36:43.513069
2023-02-14,101,1,27.39,on_time,2026-01-21 02:36:43.513069
2023-02-15,101,1,24.28,late,2026-01-21 02:36:43.513069
2023-02-16,101,1,15.35,on_time,2026-01-21 02:36:43.513069
